MMSI,Lat,Lon,SOG,COG
538002019,3.40E-05,0.0889,0.35333332,0.06722222
538002019,0.010059695,0.094036214,0.37149167,0.07755588
538002019,0.020704,0.09620093,0.37,0.98930556
538002019,0.032876983,0.09379919,0.36333334,0.9759596
538002019,0.044776,0.090658516,0.36333334,0.97488886
538002019,0.0569292,0.08796082,0.37,0.9803889
538002019,0.06902771,0.08551202,0.36,0.977702
538002019,0.080941334,0.08300574,0.3586111,0.9774537
538002019,0.092816,0.080628335,0.35333332,0.98116666
538002019,0.1046376,0.07789679,0.37,0.9811111
538002019,0.116542555,0.075329155,0.35914287,0.980373
538002019,0.12844619,0.07327524,0.36005765,0.9747112
538002019,0.14049745,0.07207849,0.368196,0.9633514
538002019,0.15253164,0.06924327,0.37,0.9886111
538002019,0.16493645,0.07094172,0.37666667,0.021145834
538002019,0.17722926,0.073100224,0.3681515,0.01231601
538002019,0.18928331,0.07853637,0.37589842,0.038892295
538002019,0.20133662,0.08398097,0.38364536,0.06546858
538002019,0.21309488,0.09237452,0.39666668,0.07994445
538002019,0.22294253,0.10597803,0.4,0.17055556
538002019,0.22940135,0.12585782,0.41666666,0.17388889
538002019,0.23565175,0.14617397,0.40666667,0.17371212
538002019,0.2426248,0.16514185,0.37333333,0.052222222
538002019,0.25530896,0.16954815,0.39666668,0.015666667
538002019,0.26862648,0.17229538,0.40387523,0.024773682
538002019,0.2805644,0.18165725,0.40333334,0.10583334
538002019,0.29086483,0.19578457,0.40333334,0.11048611
538002019,0.30131105,0.21074352,0.42,0.115185186
538002019,0.3118136,0.22610888,0.4188889,0.108611114
538002019,0.3226716,0.2413621,0.43,0.11324074
538002019,0.333769,0.25719905,0.44566667,0.10863889
538002019,0.34775987,0.25986877,0.43333334,0.99791664
538002019,0.361891,0.2596138,0.41333333,0.9990278
538002019,0.3755079,0.25991634,0.40433332,0.3000278
538002019,0.3890182,0.25949514,0.40666667,0.995
538002019,0.40251106,0.2592365,0.40333334,0.9975
538002019,0.4161236,0.25859112,0.41333333,0.9975
538002019,0.43001264,0.25864685,0.42333335,0.001691919
538002019,0.44428393,0.25890544,0.43,0.002020202
538002019,0.458526,0.25941846,0.42333335,0.002833333
538002019,0.47257018,0.2600907,0.41333333,0.003449074
538002019,0.48659307,0.2601684,0.42222223,0.33416668
538002019,0.4953304,0.25087026,0.29333332,0.8543182
538002019,0.5005876,0.23719308,0.28333333,0.8271667
538002019,0.5049096,0.22353448,0.29,0.8200505
538002019,0.50967216,0.20909044,0.29333332,0.83022225
538002019,0.5146432,0.19479,0.288,0.8386111
538002019,0.5196252,0.18075934,0.28666666,0.8322778
538002019,0.5244324,0.16643555,0.30333334,0.8347778
538002019,0.52966833,0.15162615,0.30233333,0.8351667
538002019,0.53481585,0.13685393,0.30878788,0.8383586
538002019,0.5401883,0.1220737,0.31,0.83666664
538002019,0.54553497,0.10670296,0.32,0.8326111
538002019,0.55291104,0.092970125,0.33333334,0.8810185
538002019,0.5612198,0.080025285,0.33454546,0.87833333
538002019,0.5700538,0.06787445,0.33333334,0.8646111
538002019,0.57744753,0.05385474,0.32666665,0.8686111
538002019,0.58235407,0.03879815,0.29,0.8082778
538002019,0.5862868,0.02360252,0.27666667,0.7991667
