MMSI,Lat,Lon,SOG,COG
255805555,0.07545007,0.17894895,0.39666668,0.5242424
255805555,0.08828658,0.18233526,0.38939393,0.5199495
255805555,0.10116,0.1859754,0.39666668,0.52555555
255805555,0.11461344,0.18648148,0.41333333,0.49722221
255805555,0.12814613,0.1861695,0.42666668,0.5564815
255805555,0.14022215,0.19957374,0.44666666,0.60833335
255805555,0.1519304,0.21527833,0.46666667,0.60833335
255805555,0.1635732,0.23129623,0.44466665,0.6166667
255805555,0.1739876,0.24804778,0.41,0.5694444
255805555,0.1854424,0.26058656,0.41333333,0.5972222
255805555,0.1968268,0.27383777,0.42666668,0.60555553
255805555,0.2089951,0.2866057,0.43,0.5857639
255805555,0.22275342,0.29472107,0.44666666,0.55631316
255805555,0.23663637,0.3041696,0.45333335,0.57222223
255805555,0.24815992,0.31962955,0.44733334,0.62777776
255805555,0.25817996,0.3377295,0.44333333,0.6330247
255805555,0.26816207,0.35561246,0.43,0.6333333
255805555,0.2806655,0.36807144,0.44333333,0.5777778
255805555,0.29377174,0.37982842,0.44666666,0.5777778
255805555,0.30702925,0.3915766,0.45333335,0.5777778
255805555,0.3202144,0.40327692,0.45037037,0.5777778
255805555,0.33324,0.41546926,0.44666666,0.5833333
255805555,0.3459661,0.42772004,0.43666667,0.5830247
255805555,0.3584863,0.43977943,0.43033335,0.5888889
255805555,0.37099385,0.45179176,0.43666667,0.58305556
255805555,0.3837412,0.46375456,0.44666666,0.58055556
255805555,0.39665493,0.47625634,0.44666666,0.5888889
255805555,0.4093201,0.489432,0.44666666,0.5911111
255805555,0.42203927,0.5025769,0.44666666,0.58838385
255805555,0.43478513,0.51508486,0.44366667,0.5861111
255805555,0.4473659,0.5275678,0.42333335,0.5861111
255805555,0.45962223,0.53946006,0.43,0.5833333
255805555,0.47209448,0.5516095,0.44033334,0.5833333
255805555,0.48492488,0.5635851,0.43,0.5777778
255805555,0.49783662,0.57472134,0.42666668,0.5694444
255805555,0.5119176,0.5739277,0.43666667,0.45
255805555,0.52584785,0.5659592,0.44666666,0.44444445
255805555,0.54000586,0.557839,0.45633334,0.44722223
255805555,0.5543112,0.5495267,0.46,0.44722223
255805555,0.5690444,0.5408848,0.48666668,0.44444445
255805555,0.58423084,0.5317137,0.47944444,0.44444445
255805555,0.5988893,0.5225457,0.462,0.44
255805555,0.61311823,0.5136978,0.45518517,0.44444445
255805555,0.6275112,0.50534976,0.46333334,0.45
255805555,0.6427112,0.4993826,0.47333333,0.5
255805555,0.6584444,0.49962962,0.46888888,0.50277776
255805555,0.6738428,0.49993518,0.4409091,0.5
255805555,0.6884268,0.49987668,0.44,0.5
255805555,0.7030224,0.50006557,0.43666667,0.50277776
255805555,0.71771824,0.49982125,0.44666666,0.4952778
255805555,0.7326799,0.49907407,0.45333335,0.5
255805555,0.7476668,0.49901223,0.46333334,0.5
255805555,0.7631797,0.49900717,0.45666668,0.5
255805555,0.7780812,0.49874482,0.4422222,0.49907407
255805555,0.7927358,0.49835184,0.43666667,0.49722221
255805555,0.80712,0.4977778,0.43133333,0.49722221
255805555,0.8215708,0.4975253,0.44333333,0.5114198
255805555,0.83627176,0.5000709,0.40636364,0.51666665
255805555,0.84607995,0.50581473,0.48733333,0.5961111
255805555,0.8606888,0.51524705,0.48777777,0.4861111
255805555,0.8706863,0.5293553,0.49942195,0.7152216
255805555,0.8720012,0.55763704,0.47,0.73888886
