MMSI,Lat,Lon,SOG,COG
304771000,0.7624148,0.5003704,0.40666667,0.5
304771000,0.7487554,0.49987668,0.4137037,0.50555557
304771000,0.73495543,0.49956778,0.42,0.5
304771000,0.7211532,0.49975297,0.40666667,0.49722221
304771000,0.70768905,0.4998835,0.4,0.50555557
304771000,0.6945554,0.4996915,0.39037037,0.5
304771000,0.68148905,0.4996915,0.39666668,0.5
304771000,0.6681732,0.4996915,0.40666667,0.5
304771000,0.6547732,0.49956778,0.39733332,0.50277776
304771000,0.6415068,0.50024706,0.40333334,0.49444443
304771000,0.6283032,0.504175,0.40666667,0.44722223
304771000,0.6153201,0.51176536,0.41333333,0.44444445
304771000,0.602489,0.51967776,0.40703705,0.4419753
304771000,0.5898,0.5270989,0.4,0.44722223
304771000,0.5772148,0.53461593,0.40333334,0.44444445
304771000,0.5645068,0.5421976,0.406,0.44722223
304771000,0.5517817,0.54996634,0.40666667,0.44444445
304771000,0.53902,0.5576421,0.40333334,0.44722223
304771000,0.5265068,0.5652223,0.40066665,0.44444445
304771000,0.5139732,0.57312346,0.39933333,0.44166666
304771000,0.5013599,0.5783395,0.39333335,0.525
304771000,0.4892816,0.5711248,0.38666666,0.58055556
304771000,0.47788903,0.5602676,0.39,0.5833333
304771000,0.4665732,0.54948145,0.396,0.5833333
304771000,0.45524,0.53824705,0.4,0.5861111
304771000,0.44368902,0.52680373,0.39666668,0.5833333
304771000,0.43216956,0.5157744,0.39666668,0.58055556
304771000,0.42076957,0.5044781,0.4,0.5861111
304771000,0.40935543,0.49316186,0.40333334,0.5861111
304771000,0.3978868,0.48156184,0.4,0.58361113
304771000,0.3864816,0.47050744,0.39333335,0.5833333
304771000,0.3750868,0.45964816,0.39666668,0.5833333
304771000,0.3637532,0.44791964,0.40033334,0.5888889
304771000,0.3526148,0.43557614,0.40629628,0.59444445
304771000,0.3414,0.42321,0.40666667,0.59166664
304771000,0.32968011,0.41211122,0.407,0.5694444
304771000,0.31731525,0.40244108,0.40727273,0.5694444
304771000,0.30529344,0.39218506,0.40333334,0.5833333
304771000,0.2938868,0.38101244,0.4,0.5861111
304771000,0.2822816,0.37039095,0.40333334,0.58055556
304771000,0.2707732,0.3596048,0.39333335,0.585
304771000,0.2614816,0.34422487,0.4,0.62777776
304771000,0.25228012,0.32841986,0.40033334,0.62777776
304771000,0.24250317,0.3129573,0.40727273,0.61944443
304771000,0.23082222,0.30260628,0.4,0.56666666
304771000,0.2182816,0.29395756,0.41333333,0.55833334
304771000,0.20616956,0.28435478,0.39333335,0.5939394
304771000,0.1951732,0.2723211,0.40066665,0.59444445
304771000,0.1840868,0.2602037,0.40333334,0.59166664
304771000,0.17328902,0.24718095,0.40629628,0.6
304771000,0.16314656,0.23261729,0.40666667,0.6166667
304771000,0.15270317,0.21764868,0.4139394,0.61388886
304771000,0.14223637,0.20306966,0.41939393,0.6111111
304771000,0.1315532,0.1889074,0.4,0.5838889
304771000,0.11829344,0.18716037,0.42033333,0.49722221
304771000,0.10389344,0.18611729,0.443,0.5138889
304771000,0.08919034,0.18180767,0.48666668,0.525
304771000,0.072689,0.17803507,0.5,0.5199074
304771000,0.05632394,0.17558207,0.48,0.44801587
304771000,0.040904857,0.18539688,0.50666666,0.43888888
304771000,0.025289001,0.19572018,0.50666666,0.44398147
304771000,0.009489,0.20522642,0.50333333,0.44166666
